State,median_household_income,poverty_rate,pct_bachelors_or_higher,pct_uninsured,unemployment_rate
Alabama,53913.0,16.1,27.4,9.9,5.3
Alaska,77845.0,10.5,32.8,11.4,7.0
Arizona,69056.0,12.8,32.4,10.7,5.8
Arkansas,52528.0,16.3,25.3,9.2,5.5
California,84907.0,12.3,36.2,7.0,8.3
Colorado,82254.0,9.7,44.4,8.0,5.3
Connecticut,83771.0,10.1,42.1,5.2,6.7
Delaware,71091.0,11.6,35.6,5.7,5.6
District of Columbia,90088.0,16.5,63.0,3.7,8.2
Florida,63062.0,13.1,33.2,12.1,5.6
Georgia,66559.0,14.0,34.6,12.6,5.5
Hawaii,84857.0,11.2,35.3,3.9,7.7
Idaho,66474.0,11.0,30.7,8.8,3.3
Illinois,72205.0,12.1,37.1,7.0,7.4
Indiana,62743.0,12.2,28.9,7.5,4.7
Iowa,65600.0,11.1,30.5,4.8,3.6
Kansas,64124.0,11.7,35.4,9.2,4.4
Kentucky,55573.0,16.5,27.0,5.7,5.4
Louisiana,52087.0,19.6,26.4,7.6,7.6
Maine,64767.0,11.5,36.0,5.7,4.9
Maryland,90203.0,10.3,42.5,6.1,5.9
Massachusetts,89645.0,10.4,46.6,2.5,6.6
Michigan,63498.0,13.1,31.7,5.0,6.9
Minnesota,77720.0,9.3,38.9,4.5,4.9
Mississippi,48716.0,19.4,24.8,11.9,6.4
Missouri,61847.0,12.7,31.7,9.4,4.6
Montana,63249.0,11.9,34.8,8.2,4.0
Nebraska,66817.0,10.8,34.4,7.1,2.7
Nevada,66274.0,14.1,27.6,11.6,9.7
New Hampshire,88465.0,7.2,40.2,5.1,3.6
New Jersey,89296.0,10.2,43.1,7.2,8.1
New Mexico,53992.0,18.4,30.1,10.0,7.8
New York,74314.0,13.9,39.9,5.2,8.7
North Carolina,61972.0,13.4,34.9,10.4,5.8
North Dakota,66519.0,11.1,31.7,7.9,2.9
Ohio,62262.0,13.4,30.7,6.5,5.4
Oklahoma,55826.0,15.6,27.9,13.8,5.9
Oregon,71562.0,12.2,36.3,6.1,6.4
Pennsylvania,68957.0,12.1,34.5,5.5,6.4
Rhode Island,74008.0,11.4,36.5,4.3,7.7
South Carolina,59318.0,14.6,31.5,10.0,5.6
South Dakota,66143.0,12.3,31.7,9.5,2.8
Tennessee,59695.0,13.6,30.5,10.0,5.3
Texas,66963.0,14.2,33.1,18.0,6.2
Utah,79449.0,8.6,36.8,9.0,3.5
Vermont,72431.0,10.3,44.4,3.7,4.2
Virginia,80963.0,10.2,41.8,6.8,4.8
Washington,84247.0,9.9,39.0,6.4,5.9
West Virginia,51248.0,16.8,24.1,6.1,6.2
Wisconsin,67125.0,10.8,32.5,5.4,3.5
Wyoming,65204.0,11.4,29.2,12.2,3.7
